time,x,y,z,Fx,Fy,Fz
1775536907.1526704,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.757309,16.083813,-14.986631
1775536907.25263,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.54647,16.092384,-14.957968
1775536907.3526165,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.6207004,16.214573,-14.955656
1775536907.4526083,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.6259866,16.035727,-14.932456
1775536907.5527198,1.024241488396989,-0.043734385938819606,0.45488132325786895,-4.5729303,16.075874,-14.931733
1775536907.6527574,1.0216137314276792,-0.041931114838596746,0.4548888726481386,-4.809905,16.192833,-15.012028
1775536907.7527595,1.0180525600933827,-0.041993393350443005,0.4542867281321241,-4.590695,15.9637985,-14.853155
1775536907.8527575,1.0152744934146636,-0.04438369789112372,0.45497523646671023,-4.5827465,16.120268,-14.713964
1775536907.95276,1.0122181355995852,-0.04577278741050895,0.4558543669784199,-4.2728767,16.063677,-14.726044
1775536908.0527647,1.009404208771806,-0.04524787733834833,0.455695761253337,-4.450374,16.037601,-14.708742
1775536908.152754,1.0066861981511859,-0.045084850132418045,0.4553585955046369,-4.498911,16.001537,-14.579524
1775536908.2527285,1.0037902867990824,-0.04581158101613072,0.4552268629193772,-4.1354713,16.236055,-14.626306
1775536908.3527071,1.0007997091172127,-0.046951536780460476,0.45530189177074404,-4.3322926,16.060984,-14.467792
1775536908.4527566,0.9978496060402638,-0.047785984087797384,0.4553147118515794,-4.428061,16.050892,-14.423035
1775536908.5527587,0.9950652476932835,-0.047784365179416206,0.45546883667753685,-4.4660826,16.212475,-14.413877
1775536908.65275,0.992178442579908,-0.047741510578777305,0.45556080079324585,-4.527852,16.109816,-14.340103
1775536908.7527509,0.9892801958253101,-0.04848525225019755,0.45581807394911056,-4.4062448,16.1846,-14.333945
1775536908.8527544,0.9863147135970022,-0.04968963115675176,0.45581828178694445,-4.299082,15.896136,-14.233483
1775536908.9527552,0.9834369758645629,-0.050017206737498696,0.45582626792659137,-4.283204,16.030434,-14.151593
1775536909.052753,0.9806589219952063,-0.04985415871515446,0.4559291814730097,-4.249841,16.11059,-14.174457
1775536909.1527576,0.9776998609249757,-0.05049581367421306,0.45605166044929396,-4.343895,15.970339,-14.232364
1775536909.2527523,0.9747893160468031,-0.05157667987423095,0.45598385398565205,-4.3054667,16.174126,-14.021471
1775536909.3527596,0.9718940986560224,-0.051944406483341095,0.45589210226633864,-4.2534003,16.149927,-14.048837
1775536909.4527557,0.9691360414535084,-0.05204920238021924,0.45582501483474863,-4.255485,16.136639,-14.045662
1775536909.552755,0.9662013333034919,-0.05252152735225045,0.4555562834145709,-4.336658,16.036118,-14.020131
1775536909.652756,0.9633310576979903,-0.05349220361153659,0.45544263026104354,-4.2315736,16.196325,-13.869824
1775536909.7527542,0.9604450800211443,-0.05418372466158528,0.4557105331866651,-4.1236696,16.104408,-13.7625675
1775536909.8527505,0.9574488849877999,-0.054369761355972275,0.45570978736469736,-4.233383,16.068867,-13.76235
1775536909.952752,0.954613772202198,-0.05491449393996583,0.4557382014700504,-4.2603273,15.903073,-13.743355
1775536910.0527568,0.9518256394428054,-0.05543131015117176,0.4559060736399626,-4.403905,16.051773,-13.762863
1775536910.1527555,0.9488929863324701,-0.05570953536057785,0.4559026784592272,-4.2111473,16.083706,-13.686743
1775536910.2527585,0.9458323065628756,-0.05655119319558503,0.4561038298764403,-4.2890434,16.08894,-13.555545
1775536910.352757,0.9429761728372184,-0.0573034504226998,0.4564266780178414,-4.438711,16.13688,-13.557577
1775536910.4527543,0.9402230036069883,-0.05704297930868898,0.4565686854071423,-4.392144,16.127243,-13.554073
1775536910.552757,0.9372230355856822,-0.05761194310840426,0.4563545967217248,-4.185775,16.06857,-13.529051
1775536910.6527603,0.9343102618690233,-0.05844785159720714,0.4565095016356696,-4.201195,16.12957,-13.426033
1775536910.7527528,0.931499635379277,-0.05884509957873275,0.456917809080227,-4.2463284,16.058659,-13.346216
1775536910.8527498,0.9285661858447746,-0.059112812357346375,0.45701112722484777,-4.2571077,16.166245,-13.267753
1775536910.9527564,0.9255116059291668,-0.06028701154830569,0.45698092970664655,-4.263541,15.971121,-13.195627
1775536911.0527518,0.9227702447447209,-0.060662113405980496,0.45715998354505366,-4.275359,15.928238,-13.247014
1775536911.1527581,0.9200116733594969,-0.0603574743384674,0.4573941361771308,-4.223296,16.11157,-13.214513
1775536911.2527525,0.9169567281270717,-0.06104650980091734,0.4573316314838813,-4.269039,16.034344,-13.087725
1775536911.352749,0.9140272782310224,-0.06207000615252678,0.4572769530076178,-4.215027,16.157036,-12.984901
1775536911.4527123,0.9112553065792949,-0.06242350669313398,0.45726985508293205,-4.1308517,16.040428,-12.982941
1775536911.5527272,0.9083106155542495,-0.06269581930263524,0.4573746293203407,-4.4051867,16.24215,-12.8797865
1775536911.6527524,0.905253831929193,-0.06372321237004425,0.457288971071732,-4.3826513,16.036018,-12.829408
1775536911.7527514,0.9024930953144806,-0.06412619796193651,0.45739851911041923,-4.2604065,16.120949,-12.857329
1775536911.8527546,0.8997676376943453,-0.06396428569935211,0.4576690094787288,-4.0824385,16.103638,-12.830371
1775536911.9527617,0.8966228895069015,-0.0645798232089167,0.4576814473248109,-4.1801076,16.237062,-12.721649
1775536912.0527537,0.8934765414084456,-0.06592013787152226,0.4575921532362793,-4.5221596,16.152626,-12.652742
1775536912.1527503,0.8907736090894309,-0.06622129868221628,0.45772783703719155,-4.3003187,16.085087,-12.622397
1775536912.2527525,0.8881537191900566,-0.06588911123047436,0.4579701827810689,-4.2188287,15.983536,-12.521814
1775536912.3527653,0.8852513457072674,-0.06670380433171808,0.45832758701604487,-4.260998,16.040592,-12.495539
1775536912.4527555,0.8820556543353185,-0.06790948901568532,0.45817941091091535,-4.260998,16.040592,-12.495539
1775536912.5527518,0.8787511288942255,-0.06883044913130557,0.45785495608408117,-4.3125963,16.082596,-12.417214
1775536912.6527364,0.8760691456817535,-0.06901448668696626,0.45801654785883356,-4.3947744,16.000607,-12.26279
1775536912.75264,0.873371141878005,-0.06902120473800179,0.45827313873584996,-4.1853,16.104702,-12.211343
1775536912.8526342,0.8705958322040803,-0.06950822995597027,0.4584169290496529,-4.314448,16.071888,-12.191255
1775536912.952724,0.8677340085103127,-0.07012522559581486,0.4586440134626863,-4.1601267,15.969209,-12.212234
